lesson_number,slug,title_en,title_id,chapter,topic_slug,topic_name,difficulty,is_published,xp_reward,estimated_minutes,summary_en,summary_id,concept_body_en,concept_body_id,indonesian_example_en,indonesian_example_id,example_variants,question_variants,explanation_variants,sources,prerequisite_slug,created_at
11,spending-traps,Spending Traps,Jebakan Pengeluaran,Money Life Skills,spending_behavior,Spending Behavior,beginner,true,55,5,"Flash sales, influencer hype, and small daily treats can quietly drain your budget.","Flash sale, hype influencer, dan camilan kecil harian bisa menguras anggaran secara diam-diam.","A spending trap is anything that tricks you into buying more than you planned. Common traps include flash sales that create fake urgency, influencer recommendations that make you feel left out, and small daily treats that seem cheap alone but add up fast. Sellers use countdown timers, limited-stock labels, and social proof to push you toward quick decisions.

The best defense is a pause. Before buying, ask: did I plan for this yesterday? Can I afford it from my wants budget? Will I still want th","Jebakan pengeluaran adalah apa pun yang menipumu agar membeli lebih dari yang direncanakan. Jebakan umum meliputi flash sale yang menciptakan urgensi palsu, rekomendasi influencer yang membuatmu merasa ketinggalan, dan camilan kecil harian yang terasa murah sendiri tapi cepat bertumpuk. Penjual menggunakan penghitung waktu mundur, label stok terbatas, dan bukti sosial untuk mendorongmu memutuskan dengan cepat.

Pertahanan terbaik adalah jeda. Sebelum membeli, tanyakan: apakah aku merencanakan in","Dina opens Shopee and sees a flash sale: 'buy 2 get 1 free' on a skincare set priced at Rp 450,000 that she does not need. The countdown timer says two hours left. She feels pressure to buy now. Before checking out, she checks her wants budget and realizes she already spent Rp 350,000 on a concert ticket. She closes the app and saves the skincare for next month if she still wants it.",,2,4,2,GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-007: OJK Banking Channel — Consumer Protection (https://ojk.go.id/id/kanal/perbankan) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
12,behavioral-bias-intro,Behavioral Bias Intro,Pengenalan Bias Perilaku,Money Life Skills,behavioral_finance,Behavioral Finance,advanced,true,65,6,"Your emotions can push you to follow the crowd, fear losses, or chase trends without thinking.","Emosimu bisa mendorongmu ikut-ikutan kerumunan, takut rugi, atau kejar tren tanpa berpikir.","Behavioral bias means mental shortcuts that can lead to poor financial decisions. Three common biases are FOMO, or fear of missing out, which makes you buy something just because others are buying it; loss aversion, which makes the pain of losing money feel stronger than the joy of gaining the same amount; and herd behavior, which makes you follow the crowd without doing your own research.

These biases are normal, but they can be costly. The best defense is to slow down, write down your reason ","Bias perilaku artinya jalan pintas berpikir yang bisa mengarah ke keputusan finansial buruk. Tiga bias umum adalah FOMO, atau fear of missing out, yang membuatmu membeli sesuatu hanya karena orang lain juga beli; loss aversion, yang membuat rasa sakit rugi uang terasa lebih kuat daripada senangnya dapat uang dalam jumlah sama; dan herd behavior, yang membuatmu mengikuti kerumunan tanpa riset sendiri.

Bias-bias ini wajar, tapi bisa mahal. Pertahanan terbaik adalah melambat, menuliskan alasan kep","All of Bayu's friends are buying GOTO stock with Rp 1,000,000 each because of a viral TikTok video saying the price will double. Bayu feels FOMO because he does not want to miss out. He also feels loss aversion because he is afraid of losing his Rp 1,000,000. Instead of buying immediately, he writes down his reason: 'Because TikTok said so.' He realizes this is herd behavior, not research. He decides to learn more about the company first and only invests an amount he can afford to lose.",,0,0,0,GLB-016: Thinking Fast and Slow (null) | OJK-001: National Strategy on Indonesian Financial Literacy (SNLKI) 2021-2025 (https://ojk.go.id/en/berita-dan-kegiatan/publikasi/Pages/National-Strategy-on-Indonesian-Financial-Literacy-(SNLKI)-2021---2025.aspx) [PRIMARY] | OJK-004: OJK Capital Markets Channel (https://ojk.go.id/id/kanal/pasar-modal),,2026-07-16T13:12:52.990866+00:00
13,too-good-to-be-true,Too Good To Be True,Terlalu Bagus untuk Jadi Kenyataan,Protect Yourself,scam_defense,Scam Defense,beginner,true,60,5,Guaranteed high returns with no risk do not exist; that promise is a classic scam sign.,Imbal hasil tinggi yang dijamin tanpa risiko tidak ada; janji itu adalah tanda penipuan klasik.,"If an investment promises high returns, zero risk, and pressure to recruit friends, it is almost certainly a scam. In finance, return and risk are connected. Anyone promising guaranteed profit is either lying or hiding the risk. OJK regularly warns the public about illegal investments that use these exact tricks.

Three red flags to remember are guaranteed returns, no risk, and recruitment bonuses. Real investing involves uncertainty, and even regulated products can lose value. The safest respon","Jika sebuah investasi menjanjikan imbal hasil tinggi, risiko nol, dan tekanan untuk merekrut teman, itu hampir pasti penipuan. Dalam keuangan, imbal hasil dan risiko saling terhubung. Siapa pun yang menjanjikan keuntungan pasti berbohong atau menyembunyikan risikonya. OJK secara rutin memperingatkan masyarakat tentang investasi ilegal yang menggunakan trik persis ini.

Tiga tanda bahaya yang perlu diingat adalah imbal hasil dijamin, tanpa risiko, dan bonus perekrutan. Berinvestasi nyata melibatk","Bayu is added to a Telegram group that promises 'guaranteed 20% profit per month, zero risk, invite your friends and earn more.' The group asks members to deposit at least Rp 1,000,000. His friend pressures him to join before the 'slots close.' Bayu remembers that OJK says guaranteed returns are impossible. He checks the OJK Waspada Investasi portal, does not find the product, and leaves the group.",,0,0,0,GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-007: OJK Banking Channel — Consumer Protection (https://ojk.go.id/id/kanal/perbankan) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
14,check-ojk-license,Check Before You Invest: OJK License,Cek Sebelum Investasi: Izin OJK,Protect Yourself,ojk_license_check,OJK License Check,beginner,true,60,6,Always verify that a financial product is licensed by OJK before sending any money.,Selalu verifikasi bahwa produk keuangan berizin OJK sebelum mengirim uang.,"OJK, the Financial Services Authority of Indonesia, licenses and supervises banks, insurance companies, investment managers, and many investment products. A product that is not listed on OJK's website is illegal and unprotected. If the company fails or runs away with your money, you have little chance of recovery.

Before investing, visit the official OJK website and use the Waspada Investasi or licensing search tools. Check the company name, product name, and license number. If a salesperson is","OJK, Otoritas Jasa Keuangan, melisensi dan mengawasi bank, perusahaan asuransi, manajer investasi, dan banyak produk investasi. Produk yang tidak terdaftar di situs web OJK adalah ilegal dan tidak dilindungi. Jika perusahaan gagal atau lari dengan uangmu, peluang pemulihanmu sangat kecil.

Sebelum berinvestasi, kunjungi situs web resmi OJK dan gunakan alat pencarian Waspada Investasi atau pengecekan izin. Periksa nama perusahaan, nama produk, dan nomor izin. Jika seorang penjual sah, mereka tida","A friend tells Bayu about a 'crypto staking' app that pays 15% per month and asks him to deposit Rp 500,000 to start. The friend shows screenshots of profits. Before depositing, Bayu opens the official OJK website, searches the company name, and finds nothing. He also searches the OJK Waspada Investasi list and sees similar apps flagged. He tells his friend that the app is unlicensed and dangerous.",,2,4,2,GLB-005: I Will Teach You To Be Rich — Ramit Sethi (null) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
15,phishing-social-engineering,Phishing and Social Engineering,Phishing dan Rekayasa Sosial,Protect Yourself,phishing_social_engineering,Phishing & Social Engineering,beginner,true,55,5,Scammers pretend to be trusted people or institutions to steal your information and money.,Penipu menyamar jadi orang atau lembaga yang kita percaya untuk mencuri data dan uangmu.,"Phishing is a fake message designed to steal your personal data, passwords, or OTP. Social engineering is when a scammer manipulates you emotionally, for example by pretending to be a friend, family member, bank officer, or government official. These attacks often create urgency: 'your account will be blocked' or 'your package is stuck.'

The safest response is to slow down. Do not click links in unexpected messages. Do not share OTPs, PINs, or passwords. If the message claims to be from your ba","Phishing adalah pesan palsu yang dibuat untuk mencuri data pribadi, kata sandi, atau OTP-mu. Rekayasa sosial adalah saat penipu memanipulasimu secara emosional, misalnya dengan berpura-pura jadi teman, keluarga, petugas bank, atau pejabat pemerintah. Serangan ini sering membuat situasi terasa genting: 'rekeningmu akan diblokir' atau 'paketmu macet.'

Tanggapan paling aman adalah jangan buru-buru. Jangan klik link di pesan yang tidak kamu duga. Jangan bagikan OTP, PIN, atau kata sandi. Jika pesan","Bayu receives a WhatsApp message that says 'Your BCA account with a balance of Rp 5,000,000 is blocked. Click this link to reactivate.' The link asks for his ATM card number and OTP. Bayu closes the message, opens his official BCA mobile app directly, and sees his account is fine. He then reports the number to his bank and blocks the sender.",,2,4,2,GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
16,mlm-pyramid-red-flags,MLM and Pyramid Red Flags,Tanda MLM dan Piramida,Protect Yourself,mlm_pyramid,MLM & Pyramid Red Flags,beginner,true,60,6,A real business earns money from customers; a pyramid scheme earns money from recruits.,Bisnis sungguhan menghasilkan uang dari pelanggan; skema piramida menghasilkan uang dari perekrutan.,"A legitimate multi-level marketing company mainly earns money by selling real products to real customers. A pyramid scheme mainly earns money by recruiting new members who pay fees or buy inventory. Pyramid schemes collapse when recruitment slows because there are not enough new people to pay the old ones.

Red flags include being paid mostly for recruiting, being forced to buy large stock packages, promises of easy wealth, and pressure to recruit friends and family quickly. If the income depend","Bisnis multi-level marketing yang sah utamanya menghasilkan uang dengan menjual produk nyata ke pelanggan nyata. Skema piramida utamanya menghasilkan uang dengan merekrut anggota baru yang membayar biaya atau membeli stok. Skema piramida akan runtuh saat perekrutan melambat karena tidak cukup orang baru untuk membayar yang lama.

Tanda-tanda waspada antara lain: penghasilan terutama dari merekrut, dipaksa membeli paket stok besar, janji kaya instan, dan tekanan untuk cepat merekrut teman serta k","Sari is invited to a skincare 'business.' To join, she must buy Rp 3,000,000 worth of stock and recruit two friends. Her income mostly comes from the recruitment fees of the people she brings in, not from selling skincare. The products are overpriced and hard to sell. This is a pyramid scheme because it needs endless recruits to survive.",,2,4,2,GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-007: OJK Banking Channel — Consumer Protection (https://ojk.go.id/id/kanal/perbankan) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
17,debt-traps,"Debt Traps: PayLater, Pinjol, and Credit Cards","Jebakan Utang: PayLater, Pinjol, dan Kartu Kredit",Let's Talk About Debt,debt_management,Debt Management,beginner,true,60,6,High-interest consumer debt can grow faster than your ability to pay it back.,Utang konsumen berbunga tinggi bisa tumbuh lebih cepat dari kemampuanmu membayarnya.,"Debt is money you borrow and promise to repay later, usually with extra cost called interest. Debt becomes a trap when the interest or late fees grow faster than your income. In Indonesia, PayLater apps, online loans (pinjol), and credit cards make borrowing feel easy, but missing a payment can cause the balance to balloon.

The safest strategy is to avoid borrowing for things that lose value quickly, such as clothes or gadgets. If you already have high-interest debt, the fastest escape is usual","Utang adalah uang yang kamu pinjam dan berjanji membayarnya kembali nanti, biasanya dengan biaya tambahan yang disebut bunga. Utang menjadi jebakan ketika bunga atau denda keterlambatan tumbuh lebih cepat dari pendapatanmu. Di Indonesia, aplikasi PayLater, pinjaman online (pinjol), dan kartu kredit membuat berhutang terasa mudah, tapi ketinggalan satu pembayaran bisa membuat saldo membengkak.

Strategi teraman adalah menghindari berhutang untuk barang-barang yang cepat kehilangan nilai, seperti ","Raka uses PayLater to buy a Rp 1,200,000 hoodie. He forgets the due date and the bill grows to Rp 1,500,000 after late fees and interest. His monthly allowance is only Rp 1,500,000, so now most of it is gone before he buys food or pulsa. He should have saved for the hoodie first or skipped it, and now he must negotiate a payment plan and stop using PayLater until it is paid off.",,2,4,2,GLB-005: I Will Teach You To Be Rich — Ramit Sethi (null) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
18,good-debt-vs-bad-debt,Good Debt vs Bad Debt,Utang Baik vs Utang Buruk,Let's Talk About Debt,debt_management,Debt Management,beginner,true,55,6,Some debt helps you earn more or own assets that grow in value; other debt only buys things that lose value and create monthly stress.,,"Debt is not automatically good or bad — it depends on what the money produces. Good debt is borrowed money that is likely to increase your future income or net worth. Examples include a low-cost education loan that leads to a better job, a KUR (Kredit Usaha Rakyat) loan that starts a profitable small business, or a mortgage on a rental property that generates income. Bad debt is borrowed money spent on things that lose value quickly and do not produce income, such as gadgets, clothes, or vacatio",,"Sari borrows Rp 5,000,000 for an online coding bootcamp. After finishing, she gets a junior developer job that pays Rp 7,000,000 per month. The loan was good debt because it increased her earning power. Her friend Rina uses PayLater to buy a Rp 1,200,000 hoodie. She misses the due date and the total grows to Rp 1,500,000 after fees and interest. The hoodie was bad debt because it lost value immediately and created extra cost.",,3,10,0,OJK-014: OJK Pocket Guide — Personal Financial Management PDF (https://www.ojk.go.id/id/berita-dan-kegiatan/publikasi/Documents/Pages/Buku-Saku-Pengelolaan-Keuangan-Pribadi/Buku-Saku-Pengelolaan-Keuangan-Pribadi.pdf) [PRIMARY],,2026-07-24T06:49:55.41166+00:00
19,why-pay-later-is-bad,"Why ""Pay Later"" Is Bad","Mengapa ""Bayar Nanti"" Itu Buruk",Let's Talk About Debt,debt_management,Debt Management,beginner,true,55,6,"PayLater and buy-now-pay-later plans make spending feel free, but late fees, interest, and impulse buying can turn a small purchase into a stressful debt.",,"Buy-now-pay-later (BNPL), often called PayLater in Indonesian apps, lets you split a purchase into small installments. This feels affordable, but it hides the full cost and encourages buying things you do not need. If you miss a due date, late fees and interest can make the item far more expensive than the original price. Many users end up with several PayLater bills at once and struggle to track them all.

Even licensed PayLater providers are required to follow OJK rules, but the product itself",,"Bayu buys a Rp 900,000 gaming headset using PayLater in three installments of Rp 300,000. He forgets the second due date and is charged a Rp 150,000 late fee plus interest. The headset now costs Rp 1,150,000, and he still has to pay his phone bill and campus meals. The small installment felt safe, but one missed payment turned it into a budget problem.",,3,10,0,OJK-009: OJK SWI Cyber Patrol — Illegal Investment & Fintech Lending Crackdown (https://www.ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/Siaran-Pers-Satgas-Waspada-Investasi-Gencarkan-Cyber-Patrol--Tindak-Fintech-Lending-dan-Penawaran-Investasi-illegal.aspx) [PRIMARY] | OJK-012: OJK Banking Consumer Protection (https://www.ojk.go.id/id/kanal/perbankan/edukasi-dan-perlindungan-konsumen/Pages/default.aspx),,2026-07-24T06:49:55.41166+00:00
20,credit-card-good-or-bad,Credit Cards: Good or Bad?,Kartu Kredit: Baik atau Buruk?,Let's Talk About Debt,debt_management,Debt Management,beginner,true,60,6,"A credit card is a tool. It rewards disciplined users with convenience and credit history, and punishes those who only pay the minimum.",,"A credit card is not free money. It is a short-term loan from a bank. In Indonesia, Bank Indonesia regulates credit cards through PBI No.14/2/PBI/2012. The rules cover maximum interest rates, minimum age and income requirements, credit limits, and consumer protection. These rules exist because revolving credit can be expensive when misused.

A credit card can be good when you pay the full balance every month. You build a positive SLIK credit record, enjoy a short grace period before payment, and",,"Citra uses her BCA credit card only for monthly groceries and fuel, then pays the full bill automatically from her tabungan. She never pays interest and earns small cashback. Her older brother Doni uses his credit card to buy a new phone and only pays the minimum each month. The remaining balance grows with interest, and after six months he has paid more in interest than the phone is worth.",,3,10,0,BI-010: Peraturan Bank Indonesia No.14/2/PBI/2012 tentang Penyelenggaraan Kegiatan Alat Pembayaran Dengan Menggunakan Kartu (https://www.bi.go.id/id/publikasi/peraturan/Pages/pbi_140212.aspx) [PRIMARY] | OJK-012: OJK Banking Consumer Protection (https://www.ojk.go.id/id/kanal/perbankan/edukasi-dan-perlindungan-konsumen/Pages/default.aspx),,2026-07-24T06:49:55.41166+00:00
21,how-to-pay-debt-responsibly,How to Pay Debt Responsibly,Cara Membayar Utang dengan Bertanggung Jawab,Let's Talk About Debt,debt_management,Debt Management,beginner,true,60,6,"A clear repayment plan protects your budget, your credit record, and your peace of mind.",,"The first step in paying debt responsibly is to stop adding new debt. Then list every debt you have: the lender, the remaining balance, the interest rate, the minimum payment, and the due date. This simple list removes the fear of the unknown and lets you choose a strategy.

Two popular strategies are the avalanche method and the snowball method. Avalanche means paying the minimum on every debt, then putting all extra money toward the debt with the highest interest rate. This saves the most mone",,"Raka has three debts: an online loan (pinjol) of Rp 2,000,000 at 36% per year, a credit card balance of Rp 5,000,000 at 24% per year, and a loan from his brother of Rp 1,000,000 at 0% interest. He pays the minimums on the credit card and brother loan, then puts all extra money toward the pinjol. Once the pinjol is gone, he attacks the credit card next. This avalanche approach saves him the most interest.",,3,10,0,OJK-014: OJK Pocket Guide — Personal Financial Management PDF (https://www.ojk.go.id/id/berita-dan-kegiatan/publikasi/Documents/Pages/Buku-Saku-Pengelolaan-Keuangan-Pribadi/Buku-Saku-Pengelolaan-Keuangan-Pribadi.pdf) [PRIMARY] | OJK-012: OJK Banking Consumer Protection (https://www.ojk.go.id/id/kanal/perbankan/edukasi-dan-perlindungan-konsumen/Pages/default.aspx),,2026-07-24T06:49:55.41166+00:00
22,emergency-fund-101,Emergency Fund: Prepare Before You Invest,Dana Darurat: Siapkan Sebelum Investasi,Plan Your Money,emergency_fund,Emergency Fund,beginner,true,65,6,An emergency fund is a separate safety net that protects your long-term savings from surprise expenses.,Dana darurat adalah jaring pengaman terpisah yang melindungi tabungan jangka panjangmu dari pengeluaran mendadak.,"An emergency fund is money set aside specifically for urgent, unexpected costs such as illness, job loss, or a broken phone. A common guide is to save three to six months of regular expenses. If your income is stable and you have no dependents, three months may be enough. If your income is irregular or you support family, aim closer to six months or more.

The fund should be kept in a safe and easy-to-access place, such as a separate savings account at an LPS-insured bank, a short-term deposit, ","Dana darurat adalah uang yang disisihkan khusus untuk biaya mendesak dan tak terduga seperti sakit, kehilangan pekerjaan, atau ponsel rusak. Panduan umum adalah menabung tiga hingga enam bulan pengeluaran rutin. Jika pendapatanmu stabil dan tidak ada tanggungan, tiga bulan mungkin cukup. Jika pendapatanmu tidak tetap atau kamu menanggung keluarga, targetkan mendekati enam bulan atau lebih.

Dana ini sebaiknya disimpan di tempat yang aman dan mudah diakses, seperti rekening tabungan terpisah di b","Budi is an ojek online driver with irregular income. His monthly expenses for kos, food, and fuel total Rp 3,000,000. One day his phone breaks, costing Rp 3,000,000 to repair. Because he has kept Rp 18,000,000 in a separate tabungan as an emergency fund, he can fix the phone without borrowing from a pinjol app or selling his motorbike.",,5,9,4,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY] | GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-004: OJK Capital Markets Channel (https://ojk.go.id/id/kanal/pasar-modal),money-basics-101,2026-07-14T14:21:14.796167+00:00
23,goal-setting-101,Financial Goal Setting,Menetapkan Tujuan Keuangan,Plan Your Money,goal_setting,Goal Setting,beginner,true,55,5,Clear goals with amounts and deadlines turn wishes into achievable plans.,Tujuan yang jelas dengan nominal dan tenggat waktu mengubah keinginan menjadi rencana yang bisa dicapai.,"A financial goal is a target you set for your money. Good goals are specific, have an amount, and have a deadline. Vague goals like 'save more' rarely work because there is no way to measure progress. A better goal is 'save Rp 5,000,000 for a laptop by December.'

Goals are usually grouped by time. Short-term goals are under one year, such as buying a phone. Medium-term goals are one to five years, such as building an emergency fund or funding a course. Long-term goals are more than five years, ","Tujuan keuangan adalah target yang kamu tetapkan untuk uangmu. Tujuan yang baik spesifik, punya nominal, dan punya tenggat waktu. Tujuan kabur seperti 'menabung lebih banyak' jarang berhasil karena tidak ada cara mengukur kemajuan. Tujuan yang lebih baik adalah 'menabung Rp 5.000.000 untuk laptop pada Desember.'

Tujuan biasanya dikelompokkan berdasarkan waktu. Tujuan jangka pendek adalah di bawah satu tahun, seperti membeli ponsel. Tujuan jangka menengah adalah satu hingga lima tahun, seperti m","Fani wants a Rp 5,000,000 laptop in 10 months for college. Instead of hoping money appears, she divides the target by ten. She needs to save Rp 500,000 per month. She sets an automatic transfer of Rp 500,000 to a separate tabungan on payday. Each month she checks her progress and adjusts spending if she falls behind.",,2,4,2,GLB-008: Tiny Habits — BJ Fogg (product design reference) (null) | OJK-002: OJK National Survey on Financial Literacy & Inclusion (SNLIK) 2025 (https://ojk.go.id/id/Fungsi-Utama/Perilaku-Pelaku-Usaha-Jasa-Keuangan/SNLIK/Pages/SNLIK-2025.aspx) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
24,building-financial-plan,Building Your Financial Plan,Membangun Rencana Keuanganmu,Plan Your Money,financial_planning,Financial Planning,advanced,true,70,6,"A financial plan puts goals, emergency savings, debt, protection, and investing into one clear order.","Rencana keuangan menyusun tujuan, dana darurat, utang, perlindungan, dan investasi dalam satu urutan yang jelas.","A financial plan is a simple map of where your money should go. For most young Indonesians, the first steps are: cover basic needs, build a small emergency fund, pay off high-interest debt, protect yourself with health coverage such as BPJS Kesehatan or private health insurance if possible, and only then consider investing. The order matters because there is no point chasing investment returns while an emergency or high-interest debt can wipe you out.

Your plan should match your life. If you ha","Rencana keuangan adalah peta sederhana soal ke mana uangmu harus pergi. Bagi kebanyakan anak muda Indonesia, langkah awalnya adalah: penuhi kebutuhan dasar, bangun dana darurat kecil, lunasi utang berbunga tinggi, lindungi diri dengan perlindungan kesehatan seperti BPJS Kesehatan atau asuransi kesehatan swasta kalau memungkinkan, dan baru setelah itu pertimbangkan investasi. Urutannya penting karena tidak ada gunanya mengejar imbal hasil investasi sementara dana darurat atau utang berbunga tingg","Ani is 19 and earns Rp 2,500,000 per month from freelance design. She has no emergency fund and Rp 2,000,000 in PayLater debt with high interest. Her financial plan starts with covering basic needs, building a one-month emergency fund of Rp 1,500,000, then aggressively paying off the PayLater debt. Only after the debt is gone does she think about investing Rp 100,000 per month in a reksa dana.",,2,4,2,GLB-005: I Will Teach You To Be Rich — Ramit Sethi (null) | OJK-001: National Strategy on Indonesian Financial Literacy (SNLKI) 2021-2025 (https://ojk.go.id/en/berita-dan-kegiatan/publikasi/Pages/National-Strategy-on-Indonesian-Financial-Literacy-(SNLKI)-2021---2025.aspx) [PRIMARY] | OJK-002: OJK National Survey on Financial Literacy & Inclusion (SNLIK) 2025 (https://ojk.go.id/id/Fungsi-Utama/Perilaku-Pelaku-Usaha-Jasa-Keuangan/SNLIK/Pages/SNLIK-2025.aspx),,2026-07-16T13:12:52.990866+00:00
25,interest-101,What Is Interest? (Main Track),Apa Itu Bunga? (Jalur Utama),Grow Your Money,interest,Interest,intermediate,true,60,5,Interest is the cost of borrowing money or the reward for saving it.,,"Interest is the extra money you pay when you borrow, or the extra money you receive when you save or lend. When you deposit money in a bank, the bank pays you interest because it can use your money to make loans. When you borrow, you pay interest because the lender gave up the use of that money.

Simple interest is calculated only on the original amount. For example, 4% annual interest on Rp 1,000,000 gives you Rp 40,000 in one year. The interest rate matters because it affects how fast debt gro",,"Rina saves Rp 1,000,000 in a bank deposito that pays 4% per year. After one year, she earns Rp 40,000 in interest before tax. The bank uses her deposit and others like it to fund loans for businesses and other customers. Rina's reward is the interest, and the bank's reward is the difference between what it pays savers and what it charges borrowers.",,0,0,0,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
26,compound-interest-101,Compound Interest: Money Making Money,Bunga Majemuk: Uang yang Membuat Uang,Grow Your Money,compound_interest,Compound Interest,intermediate,true,65,6,"Compound interest means earning interest on your interest, which grows faster over time.","Bunga majemuk artinya kamu mendapat bunga dari bunga yang sudah dihasilkan, jadi uangmu tumbuh lebih cepat seiring waktu.","Compound interest happens when you earn interest not only on the money you originally saved, but also on the interest that money has already earned. This creates a snowball effect: the longer you leave the money, the faster it grows. The two most important factors are time and the interest rate.

Starting early matters more than starting big. A small amount saved early can grow larger than a bigger amount saved later because it has more time to compound. Of course, in real life returns are not g","Bunga majemuk terjadi saat kamu mendapat bunga bukan hanya dari uang yang pertama kali disimpan, tapi juga dari bunga yang sudah dihasilkan uang itu. Ini menciptakan efek bola salju: semakin lama uang dibiarkan, semakin cepat pertumbuhannya. Dua faktor paling penting adalah waktu dan suku bunga.

Memulai lebih awal lebih berarti daripada memulai dalam jumlah besar. Tabungan kecil yang dimulai awal bisa tumbuh lebih besar dari tabungan besar yang dimulai belakangan karena punya lebih banyak waktu","Doni saves Rp 100,000 every month starting at age 18 in an instrument that averages 6% per year. His brother starts saving the same amount at age 28. By age 40, Doni has contributed only Rp 12,000,000 more than his brother but ends up with far more because his money compounded for ten extra years. The extra decade of compounding makes the difference.",,2,4,2,GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-004: OJK Capital Markets Channel (https://ojk.go.id/id/kanal/pasar-modal) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
27,bank-vs-investment,Bank vs Investment: Where Should Your Money Go?,Bank vs Investasi: Uangmu Harus ke Mana?,Grow Your Money,bank_vs_investment,Bank vs Investment,intermediate,true,60,5,Banks protect short-term money; investments may grow long-term money but carry risk.,Bank melindungi uang jangka pendek; investasi bisa menumbuhkan uang jangka panjang tapi punya risiko.,"A bank account is a place to keep money safe and easy to access. Savings and deposits usually pay lower, more stable interest and are protected by programs like LPS within limits. Investments, such as stocks, bonds, or reksa dana, offer the chance of higher returns but also carry the risk of losing value.

The right place depends on when you need the money. Money you need soon, such as next month's tuition or an emergency fund, belongs in a bank. Money you will not need for many years can be con","Rekening bank adalah tempat menyimpan uang yang aman dan mudah diambil. Tabungan dan deposito biasanya memberikan bunga lebih rendah dan stabil, serta dilindungi oleh program seperti LPS dalam batas tertentu. Investasi seperti saham, obligasi, atau reksa dana menawarkan peluang imbal hasil lebih tinggi tapi juga risiko nilai merosot.

Tempat yang tepat bergantung pada kapan kamu butuh uangnya. Uang yang segera dibutuhkan, seperti uang kuliah bulan depan atau dana darurat, sebaiknya disimpan di b","Bayu has Rp 5,000,000. He needs Rp 2,000,000 next month for tuition, so he keeps it in a regular tabungan for safety. He can lock away Rp 3,000,000 for at least two years, so he considers a low-risk reksa dana. He does not put next month's tuition in stocks because the value could drop right when he needs it.",,2,4,2,GLB-007: A Random Walk Down Wall Street — Malkiel (null) | OJK-004: OJK Capital Markets Channel (https://ojk.go.id/id/kanal/pasar-modal) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
