new_order,old_lesson_number,slug,title_en,title_id,chapter,topic_slug,topic_name,difficulty,is_published,action,is_duplicate,xp_reward,estimated_minutes,summary_en,summary_id
14,2,value-and-purchasing-power,Value and Purchasing Power,Nilai dan Daya Beli,Chapter 01: Money Basics,value_purchasing_power,Value & Purchasing Power,beginner,true,KEEP,false,50,5,The same rupiah can buy different amounts depending on where and when you spend it.,Rupiah yang sama bisa membeli jumlah berbeda tergantung di mana dan kapan kamu membelanjakannya.
15,3,inflation-101,Inflation: Why Your Rupiah Buys Less Over Time,Inflasi: Mengapa Rupiahmu Membeli Lebih Sedikit dari Waktu ke Waktu,Chapter 01: Money Basics,inflation,Inflation,beginner,true,KEEP,false,55,6,Inflation is the slow rise in prices that quietly shrinks the buying power of your cash.,Inflasi adalah kenaikan harga yang perlahan-lahan memangkas daya beli uang tunaimu.
16,5,needs-vs-wants-101,Needs vs Wants (Main Track),Kebutuhan vs Keinginan (Jalur Utama),Chapter 01: Money Basics,money_basics,Money Basics,beginner,false,DEACTIVATE (duplicate),true,50,5,Covering needs first makes wants more enjoyable and less stressful.,
17,7,understanding-risk,Understanding Risk,Memahami Risiko,Chapter 01: Money Basics,risk_basics,Understanding Risk,beginner,true,KEEP,false,55,6,Risk is the chance that reality turns out worse than you expected.,Risiko adalah kemungkinan bahwa kenyataan berakhir lebih buruk dari yang kamu harapkan.
18,8,time-value-of-money,Time Value of Money,Nilai Waktu Uang,Chapter 01: Money Basics,time_value_money,Time Value of Money,beginner,true,KEEP,false,60,6,Money available sooner is usually worth more than the same amount later.,Uang yang tersedia lebih cepat biasanya lebih berharga daripada jumlah yang sama di kemudian hari.
19,48,inflation-advanced,Advanced Inflation: Phillips curve,Inflation Lanjutan: kurva Phillips,Chapter 01: Money Basics,inflation,Inflation,advanced,false,KEEP_UNPUBLISHED (advanced),false,100,10,Deep dive into advanced inflation concepts for experienced learners.,
20,9,budgeting-101,"Budgeting: The 50/30/20 Rule, Indonesian Style",Anggaran: Aturan 50/30/20 ala Indonesia,Chapter 02: Money Life Skills,budgeting,Budgeting,beginner,true,KEEP,false,60,6,"A budget is a plan that splits your income into needs, wants, and savings or debt payments.","Anggaran adalah rencana yang membagi pemasukanmu menjadi kebutuhan, keinginan, serta tabungan atau pembayaran utang."
21,10,pay-yourself-first,Pay Yourself First,Bayar Dirimu Sendiri Dulu,Chapter 02: Money Life Skills,saving_habits,Saving Habits,beginner,true,KEEP,false,55,5,Save automatically at the start of the month instead of hoping something is left at the end.,"Menabung otomatis di awal bulan, bukan berharap ada sisa di akhir bulan."
22,11,spending-traps,Spending Traps,Jebakan Pengeluaran,Chapter 02: Money Life Skills,spending_behavior,Spending Behavior,beginner,true,KEEP,false,55,5,"Flash sales, influencer hype, and small daily treats can quietly drain your budget.","Flash sale, hype influencer, dan camilan kecil harian bisa menguras anggaran secara diam-diam."
23,12,behavioral-bias-intro,Behavioral Bias Intro,Pengenalan Bias Perilaku,Chapter 02: Money Life Skills,behavioral_finance,Behavioral Finance,advanced,false,KEEP_UNPUBLISHED (advanced),false,65,6,"Your emotions can push you to follow the crowd, fear losses, or chase trends without thinking.","Emosimu bisa mendorongmu ikut-ikutan kerumunan, takut rugi, atau kejar tren tanpa berpikir."
24,45,loss-aversion-101,Loss Aversion & FOMO,Aversi Rugi & FOMO,Chapter 02: Money Life Skills,behavioral_finance,Behavioral Finance,intermediate,false,KEEP_UNPUBLISHED (advanced),false,75,8,"Kenapa kerugian terasa lebih sakit dari keuntungan, dan bagaimana FOMO membuat kita berinvestasi tanpa rencana.",
25,46,confidence-101,Confidence & Risk Tolerance,Kepercayaan Diri & Toleransi Risiko,Chapter 02: Money Life Skills,behavioral_finance,Behavioral Finance,intermediate,false,KEEP_UNPUBLISHED (advanced),false,75,8,"Beda orang, beda toleransi risiko. Jangan memaksakan strategi orang lain ke diri sendiri.",
26,47,volatility-101,Volatility & Emotional Control,Volatilitas & Pengendalian Emosi,Chapter 02: Money Life Skills,behavioral_finance,Behavioral Finance,intermediate,false,KEEP_UNPUBLISHED (advanced),false,75,8,Volatilitas adalah naik turun harga normal; yang penting adalah mengendalikan reaksi emosional.,
27,49,budgeting-advanced,Advanced Budgeting: capital budgeting,Budgeting Lanjutan: anggaran modal,Chapter 02: Money Life Skills,budgeting,Budgeting,advanced,false,KEEP_UNPUBLISHED (advanced),false,100,10,Deep dive into advanced budgeting concepts for experienced learners.,
28,52,behavioral_finance-advanced,Advanced Behavioral Finance: bounded rationality,Behavioral Finance Lanjutan: rasionalitas terbatas,Chapter 02: Money Life Skills,behavioral_finance,Behavioral Finance,advanced,false,KEEP_UNPUBLISHED (advanced),false,100,10,Deep dive into advanced behavioral finance concepts for experienced learners.,
29,13,too-good-to-be-true,Too Good To Be True,Terlalu Bagus untuk Jadi Kenyataan,Chapter 03: Protect Yourself,scam_defense,Scam Defense,beginner,true,KEEP,false,60,5,Guaranteed high returns with no risk do not exist; that promise is a classic scam sign.,Imbal hasil tinggi yang dijamin tanpa risiko tidak ada; janji itu adalah tanda penipuan klasik.
30,14,check-ojk-license,Check Before You Invest: OJK License,Cek Sebelum Investasi: Izin OJK,Chapter 03: Protect Yourself,ojk_license_check,OJK License Check,beginner,true,KEEP,false,60,6,Always verify that a financial product is licensed by OJK before sending any money.,Selalu verifikasi bahwa produk keuangan berizin OJK sebelum mengirim uang.
31,15,phishing-social-engineering,Phishing and Social Engineering,Phishing dan Rekayasa Sosial,Chapter 03: Protect Yourself,phishing_social_engineering,Phishing & Social Engineering,beginner,true,KEEP,false,55,5,Scammers pretend to be trusted people or institutions to steal your information and money.,Penipu menyamar jadi orang atau lembaga yang kita percaya untuk mencuri data dan uangmu.
32,16,mlm-pyramid-red-flags,MLM and Pyramid Red Flags,Tanda MLM dan Piramida,Chapter 03: Protect Yourself,mlm_pyramid,MLM & Pyramid Red Flags,beginner,true,KEEP,false,60,6,A real business earns money from customers; a pyramid scheme earns money from recruits.,Bisnis sungguhan menghasilkan uang dari pelanggan; skema piramida menghasilkan uang dari perekrutan.
33,17,debt-traps,"Debt Traps: PayLater, Pinjol, and Credit Cards","Jebakan Utang: PayLater, Pinjol, dan Kartu Kredit",Chapter 04: Debt Management,debt_management,Debt Management,beginner,true,KEEP,false,60,6,High-interest consumer debt can grow faster than your ability to pay it back.,Utang konsumen berbunga tinggi bisa tumbuh lebih cepat dari kemampuanmu membayarnya.
34,18,good-debt-vs-bad-debt,Good Debt vs Bad Debt,Utang Baik vs Utang Buruk,Chapter 04: Debt Management,debt_management,Debt Management,beginner,true,KEEP,false,55,6,Some debt helps you earn more or own assets that grow in value; other debt only buys things that lose value and create monthly stress.,
35,19,why-pay-later-is-bad,"Why ""Pay Later"" Is Bad","Mengapa ""Bayar Nanti"" Itu Buruk",Chapter 04: Debt Management,debt_management,Debt Management,beginner,true,KEEP,false,55,6,"PayLater and buy-now-pay-later plans make spending feel free, but late fees, interest, and impulse buying can turn a small purchase into a stressful debt.",
36,20,credit-card-good-or-bad,Credit Cards: Good or Bad?,Kartu Kredit: Baik atau Buruk?,Chapter 04: Debt Management,debt_management,Debt Management,beginner,true,KEEP,false,60,6,"A credit card is a tool. It rewards disciplined users with convenience and credit history, and punishes those who only pay the minimum.",
37,21,how-to-pay-debt-responsibly,How to Pay Debt Responsibly,Cara Membayar Utang dengan Bertanggung Jawab,Chapter 04: Debt Management,debt_management,Debt Management,beginner,true,KEEP,false,60,6,"A clear repayment plan protects your budget, your credit record, and your peace of mind.",
38,22,emergency-fund-101,Emergency Fund: Prepare Before You Invest,Dana Darurat: Siapkan Sebelum Investasi,Chapter 05: Financial Planning,emergency_fund,Emergency Fund,beginner,true,KEEP,false,65,6,An emergency fund is a separate safety net that protects your long-term savings from surprise expenses.,Dana darurat adalah jaring pengaman terpisah yang melindungi tabungan jangka panjangmu dari pengeluaran mendadak.
39,23,goal-setting-101,Financial Goal Setting,Menetapkan Tujuan Keuangan,Chapter 05: Financial Planning,goal_setting,Goal Setting,beginner,true,KEEP,false,55,5,Clear goals with amounts and deadlines turn wishes into achievable plans.,Tujuan yang jelas dengan nominal dan tenggat waktu mengubah keinginan menjadi rencana yang bisa dicapai.
40,24,building-financial-plan,Building Your Financial Plan,Membangun Rencana Keuanganmu,Chapter 05: Financial Planning,financial_planning,Financial Planning,advanced,false,KEEP_UNPUBLISHED (advanced),false,70,6,"A financial plan puts goals, emergency savings, debt, protection, and investing into one clear order.","Rencana keuangan menyusun tujuan, dana darurat, utang, perlindungan, dan investasi dalam satu urutan yang jelas."
41,25,interest-101,What Is Interest? (Main Track),Apa Itu Bunga? (Jalur Utama),Chapter 06: Grow Your Money,interest,Interest,intermediate,false,DEACTIVATE (duplicate),true,60,5,Interest is the cost of borrowing money or the reward for saving it.,
42,26,compound-interest-101,Compound Interest: Money Making Money,Bunga Majemuk: Uang yang Membuat Uang,Chapter 06: Grow Your Money,compound_interest,Compound Interest,intermediate,true,KEEP,false,65,6,"Compound interest means earning interest on your interest, which grows faster over time.","Bunga majemuk artinya kamu mendapat bunga dari bunga yang sudah dihasilkan, jadi uangmu tumbuh lebih cepat seiring waktu."
43,27,bank-vs-investment,Bank vs Investment: Where Should Your Money Go?,Bank vs Investasi: Uangmu Harus ke Mana?,Chapter 06: Grow Your Money,bank_vs_investment,Bank vs Investment,intermediate,true,KEEP,false,60,5,Banks protect short-term money; investments may grow long-term money but carry risk.,Bank melindungi uang jangka pendek; investasi bisa menumbuhkan uang jangka panjang tapi punya risiko.
44,28,risk-return-101,Risk and Return,Risiko dan Pengembalian,Chapter 06: Grow Your Money,risk_return,Risk & Return,intermediate,true,KEEP,false,65,6,Higher potential returns usually come with higher risk; there is no safe way to earn big quickly.,Potensi imbal hasil yang lebih tinggi biasanya datang dengan risiko lebih besar; tidak ada cara aman untuk kaya cepat.
45,29,diversification-101,Diversification: Don't Put All Eggs in One Basket,Diversifikasi: Jangan Taruh Semua Telur dalam Satu Keranjang,Chapter 06: Grow Your Money,diversification,Diversification,intermediate,true,KEEP,false,60,5,Spreading your money across different assets reduces the damage when one of them falls.,Menyebarkan uang ke berbagai aset mengurangi kerugian saat salah satunya turun.
46,30,reksa-dana-basics,Reksa Dana Basics,Dasar-Dasar Reksa Dana,Chapter 06: Grow Your Money,reksa_dana,Reksa Dana Basics,intermediate,true,KEEP,false,65,6,A reksa dana pools money from many people and invests it through a licensed manager.,Reksa dana mengumpulkan uang dari banyak orang dan menginvestasikannya melalui manajer berizin.
47,50,risk_return-advanced,Advanced Risk & Return: Black-Scholes intuition,Risk & Return Lanjutan: Black-Scholes,Chapter 06: Grow Your Money,risk_return,Risk & Return,advanced,false,KEEP_UNPUBLISHED (advanced),false,100,10,Deep dive into advanced risk & return concepts for experienced learners.,
48,31,what-is-a-stock,What Is a Stock?,Apa Itu Saham?,Chapter 07: Investing in Indonesia,stocks,Stocks,intermediate,true,KEEP,false,60,5,A stock is a small piece of ownership in a company.,Saham itu bagian kecil dari kepemilikan sebuah perusahaan.
49,32,idx-basics-101,IDX Rules and Lot Sizes,Aturan IDX dan Ukuran Lot,Chapter 07: Investing in Indonesia,idx_basics,IDX Basics,intermediate,true,KEEP,false,65,6,"IDX has clear rules: stocks trade in lots of 100 shares, and investor protection programs exist for listed securities.","IDX punya aturan jelas: saham diperdagangkan dalam lot 100 lembar, dan ada program perlindungan investor untuk efek yang tercatat."
50,33,reading-a-stock-page,Reading a Stock Page,Membaca Halaman Saham,Chapter 07: Investing in Indonesia,stock_analysis,Reading a Stock Page,intermediate,true,KEEP,false,65,6,"A stock summary shows the price range, closing price, trading volume, and total company value.","Ringkasan saham menunjukkan rentang harga, harga penutupan, volume perdagangan, dan nilai total perusahaan."
51,34,portfolio-thinking,Portfolio Thinking,Berpikir Portofolio,Chapter 07: Investing in Indonesia,portfolio,Portfolio Thinking,intermediate,true,KEEP,false,70,6,"A portfolio is the whole combination of your holdings, and its mix should match your goals.","Portofolio adalah gabungan seluruh kepemilikanmu, dan komposisinya harus sesuai dengan tujuanmu."
52,35,taxes-on-returns,Taxes on Your Returns,Pajak atas Imbal Hasil,Chapter 07: Investing in Indonesia,taxes,Taxes on Returns,advanced,false,KEEP_UNPUBLISHED (advanced),false,65,6,"Investment gains may be taxed, so the return you keep can be lower than the headline number.","Keuntungan investasi bisa kena pajak, jadi imbal hasil yang kamu bawa pulang bisa lebih rendah dari angka yang tertera."
53,36,macro-indicators,Macro Indicators to Watch,Indikator Makro yang Perlu Diperhatikan,Chapter 07: Investing in Indonesia,macro_indicators,Macro Indicators,advanced,false,KEEP_UNPUBLISHED (advanced),false,65,6,"Big-picture signals like BI Rate, inflation, and exchange rates affect prices, interest, and your purchasing power.","Sinyal besar seperti BI Rate, inflasi, dan nilai tukar memengaruhi harga, bunga, dan daya belimu."
54,51,idx_basics-advanced,Advanced IDX Basics: market microstructure,IDX Basics Lanjutan: mikrostruktur pasar,Chapter 07: Investing in Indonesia,idx_basics,IDX Basics,advanced,false,KEEP_UNPUBLISHED (advanced),false,100,10,Deep dive into advanced idx basics concepts for experienced learners.,
55,37,what-is-cryptocurrency,What is Cryptocurrency?,Apa Itu Mata Uang Kripto?,Chapter 08: Cryptocurrency,cryptocurrency,Cryptocurrency,beginner,true,KEEP,false,55,6,"Cryptocurrency is a digital asset that runs on a shared computer network called blockchain. Bitcoin and Ethereum are the best known, but none of them are official money in Indonesia.",
56,38,crypto-risks-scams-indonesia,Crypto Risks and Scams in Indonesia,Risiko dan Penipuan Kripto di Indonesia,Chapter 08: Cryptocurrency,cryptocurrency,Cryptocurrency,beginner,true,KEEP,false,60,7,"Crypto prices can swing wildly, and scammers use fake tokens, rug pulls, and celebrity endorsements to steal money from young Indonesians.",
57,39,how-to-buy-crypto-safely,How to Buy Crypto Safely,Cara Membeli Kripto dengan Aman,Chapter 08: Cryptocurrency,cryptocurrency,Cryptocurrency,beginner,true,KEEP,false,55,6,"If you decide to buy crypto, use a Bappebti-registered exchange, avoid P2P strangers, protect your wallet, and remember that taxes may apply.",
58,40,crypto-vs-investing-vs-gambling,Crypto vs Investing vs Gambling,Kripto vs Investasi vs Judi,Chapter 08: Cryptocurrency,cryptocurrency,Cryptocurrency,beginner,true,KEEP,false,60,7,"Buying crypto to flip it quickly is mostly speculation, not investing. Investing builds wealth through productive assets; gambling is entertainment that usually loses money.",
59,4,income-vs-wealth,Income vs Wealth (Main Track),Pendapatan vs Kekayaan (Jalur Utama),Uncategorized,income_wealth,Income vs Wealth,beginner,false,DEACTIVATE (duplicate),true,50,5,Income is money coming in; wealth is what you keep and grow over time.,
60,6,assets-vs-liabilities,Assets vs Liabilities (Main Track),Aset vs Liabilitas (Jalur Utama),Uncategorized,assets_liabilities,Assets vs Liabilities,beginner,false,DEACTIVATE (duplicate),true,55,6,An asset puts money in your pocket; a liability takes money out.,
