lesson_number,slug,title_en,title_id,chapter,topic_slug,difficulty,is_published,action,old_lesson_number
26,building-financial-plan,Building Your Financial Plan,Membangun Rencana Keuanganmu,Chapter 05: Financial Planning,financial_planning,advanced,true,KEEP_UNPUBLISHED,24
27,compound-interest-101,Compound Interest: Money Making Money,Bunga Majemuk: Uang yang Membuat Uang,Chapter 06: Grow Your Money,compound_interest,intermediate,true,KEEP,26
28,bank-vs-investment,Bank vs Investment: Where Should Your Money Go?,Bank vs Investasi: Uangmu Harus ke Mana?,Chapter 06: Grow Your Money,bank_vs_investment,intermediate,true,KEEP,27
29,risk-return-101,Risk and Return,Risiko dan Pengembalian,Chapter 06: Grow Your Money,risk_return,intermediate,true,KEEP,28
30,diversification-101,Diversification: Don't Put All Eggs in One Basket,Diversifikasi: Jangan Taruh Semua Telur dalam Satu Keranjang,Chapter 06: Grow Your Money,diversification,intermediate,true,KEEP,29
31,reksa-dana-basics,Reksa Dana Basics,Dasar-Dasar Reksa Dana,Chapter 06: Grow Your Money,reksa_dana,intermediate,true,KEEP,30
32,risk_return-advanced,Advanced Risk & Return: Black-Scholes intuition,Risk & Return Lanjutan: Black-Scholes,Chapter 06: Grow Your Money,risk_return,advanced,false,KEEP_UNPUBLISHED,50
33,what-is-a-stock,What Is a Stock?,Apa Itu Saham?,Chapter 07: Investing in Indonesia,stocks,intermediate,true,KEEP,31
34,idx-basics-101,IDX Rules and Lot Sizes,Aturan IDX dan Ukuran Lot,Chapter 07: Investing in Indonesia,idx_basics,intermediate,true,KEEP,32
35,reading-a-stock-page,Reading a Stock Page,Membaca Halaman Saham,Chapter 07: Investing in Indonesia,stock_analysis,intermediate,true,KEEP,33
36,portfolio-thinking,Portfolio Thinking,Berpikir Portofolio,Chapter 07: Investing in Indonesia,portfolio,intermediate,true,KEEP,34
37,taxes-on-returns,Taxes on Your Returns,Pajak atas Imbal Hasil,Chapter 07: Investing in Indonesia,taxes,advanced,true,KEEP_UNPUBLISHED,35
38,macro-indicators,Macro Indicators to Watch,Indikator Makro yang Perlu Diperhatikan,Chapter 07: Investing in Indonesia,macro_indicators,advanced,true,KEEP_UNPUBLISHED,36
39,idx_basics-advanced,Advanced IDX Basics: market microstructure,IDX Basics Lanjutan: mikrostruktur pasar,Chapter 07: Investing in Indonesia,idx_basics,advanced,false,KEEP_UNPUBLISHED,51
40,what-is-cryptocurrency,What is Cryptocurrency?,Apa Itu Mata Uang Kripto?,Chapter 08: Cryptocurrency,cryptocurrency,beginner,true,KEEP,37
41,crypto-risks-scams-indonesia,Crypto Risks and Scams in Indonesia,Risiko dan Penipuan Kripto di Indonesia,Chapter 08: Cryptocurrency,cryptocurrency,beginner,true,KEEP,38
42,how-to-buy-crypto-safely,How to Buy Crypto Safely,Cara Membeli Kripto dengan Aman,Chapter 08: Cryptocurrency,cryptocurrency,beginner,true,KEEP,39
43,crypto-vs-investing-vs-gambling,Crypto vs Investing vs Gambling,Kripto vs Investasi vs Judi,Chapter 08: Cryptocurrency,cryptocurrency,beginner,true,KEEP,40
